Datetime,Water Level (m)
2024-03-07 12:00:00,0.36415565
2024-03-07 13:00:00,0.47218615
2024-03-07 14:00:00,0.41468468
2024-03-07 15:00:00,0.20031989
2024-03-07 16:00:00,-0.12265251
2024-03-07 17:00:00,-0.487655
2024-03-07 18:00:00,-0.7739474
2024-03-07 19:00:00,-0.95376676
2024-03-07 20:00:00,-0.9578943
2024-03-07 21:00:00,-0.79626596
2024-03-07 22:00:00,-0.5207154
2024-03-07 23:00:00,-0.20837049
2024-03-08 00:00:00,0.05636083
2024-03-08 01:00:00,0.21630067
2024-03-08 02:00:00,0.2003168
2024-03-08 03:00:00,0.03322182
2024-03-08 04:00:00,-0.25961825
2024-03-08 05:00:00,-0.6063355
2024-03-08 06:00:00,-0.91248983
2024-03-08 07:00:00,-1.0837232
2024-03-08 08:00:00,-1.0753981
2024-03-08 09:00:00,-0.86804104
2024-03-08 10:00:00,-0.5018365
2024-03-08 11:00:00,-0.076749
2024-03-08 12:00:00,0.30635124
2024-03-08 13:00:00,0.5635414
2024-03-08 14:00:00,0.62990993
2024-03-08 15:00:00,0.48860317
2024-03-08 16:00:00,0.17154033
2024-03-08 17:00:00,-0.25162622
2024-03-08 18:00:00,-0.67702115
2024-03-08 19:00:00,-1.0099304
2024-03-08 20:00:00,-1.175257
2024-03-08 21:00:00,-1.1070248
2024-03-08 22:00:00,-0.85245013
2024-03-08 23:00:00,-0.45696247
2024-03-09 00:00:00,-0.042441644
2024-03-09 01:00:00,0.287533
2024-03-09 02:00:00,0.4293917
2024-03-09 03:00:00,0.35420075
2024-03-09 04:00:00,0.09304063
2024-03-09 05:00:00,-0.3034401
2024-03-09 06:00:00,-0.72505045
2024-03-09 07:00:00,-1.0521375
2024-03-09 08:00:00,-1.2061039
2024-03-09 09:00:00,-1.1420038
2024-03-09 10:00:00,-0.85079557
2024-03-09 11:00:00,-0.395761
2024-03-09 12:00:00,0.09708517
2024-03-09 13:00:00,0.5213918
2024-03-09 14:00:00,0.7566609
2024-03-09 15:00:00,0.75345767
2024-03-09 16:00:00,0.5055971
2024-03-09 17:00:00,0.07040084
2024-03-09 18:00:00,-0.43390372
2024-03-09 19:00:00,-0.90196127
2024-03-09 20:00:00,-1.2185777
2024-03-09 21:00:00,-1.3096203
2024-03-09 22:00:00,-1.1348921
2024-03-09 23:00:00,-0.7601469
2024-03-10 00:00:00,-0.28073418
2024-03-10 01:00:00,0.1771284
2024-03-10 02:00:00,0.49061918
2024-03-10 03:00:00,0.57361424
2024-03-10 04:00:00,0.41353643
2024-03-10 05:00:00,0.06724172
2024-03-10 06:00:00,-0.40191206
2024-03-10 07:00:00,-0.8644789
2024-03-10 08:00:00,-1.1904022
2024-03-10 09:00:00,-1.3117449
2024-03-10 10:00:00,-1.1802477
2024-03-10 11:00:00,-0.81183904
2024-03-10 12:00:00,-0.3028929
2024-03-10 13:00:00,0.21397348
2024-03-10 14:00:00,0.6088308
2024-03-10 15:00:00,0.7802952
2024-03-10 16:00:00,0.6761515
2024-03-10 17:00:00,0.34463912
2024-03-10 18:00:00,-0.14548722
2024-03-10 19:00:00,-0.69121176
2024-03-10 20:00:00,-1.1402743
2024-03-10 21:00:00,-1.3911816
2024-03-10 22:00:00,-1.3800322
2024-03-10 23:00:00,-1.1049365
2024-03-11 00:00:00,-0.6329143
2024-03-11 01:00:00,-0.095103554
2024-03-11 02:00:00,0.3636431
2024-03-11 03:00:00,0.6273165
2024-03-11 04:00:00,0.6495608
2024-03-11 05:00:00,0.40245816
2024-03-11 06:00:00,-0.015639417
2024-03-11 07:00:00,-0.5141262
2024-03-11 08:00:00,-0.9702032
2024-03-11 09:00:00,-1.2561252
2024-03-11 10:00:00,-1.3040962
2024-03-11 11:00:00,-1.0771706
2024-03-11 12:00:00,-0.64375126
2024-03-11 13:00:00,-0.10708282
2024-03-11 14:00:00,0.393668
2024-03-11 15:00:00,0.71445465
2024-03-11 16:00:00,0.78841263
2024-03-11 17:00:00,0.58345765
2024-03-11 18:00:00,0.18076718
2024-03-11 19:00:00,-0.34607968
2024-03-11 20:00:00,-0.8746577
2024-03-11 21:00:00,-1.2555273
2024-03-11 22:00:00,-1.4112021
2024-03-11 23:00:00,-1.2885718
2024-03-12 00:00:00,-0.92450446
2024-03-12 01:00:00,-0.39784956
2024-03-12 02:00:00,0.1320358
2024-03-12 03:00:00,0.54054743
2024-03-12 04:00:00,0.7286354
2024-03-12 05:00:00,0.6502819
2024-03-12 06:00:00,0.34164742
2024-03-12 07:00:00,-0.10869095
2024-03-12 08:00:00,-0.6028346
2024-03-12 09:00:00,-1.0133735
2024-03-12 10:00:00,-1.2246643
2024-03-12 11:00:00,-1.1863623
2024-03-12 12:00:00,-0.90361154
2024-03-12 13:00:00,-0.44698143
2024-03-12 14:00:00,0.05794875
2024-03-12 15:00:00,0.48752925
2024-03-12 16:00:00,0.70611894
2024-03-12 17:00:00,0.6770319
2024-03-12 18:00:00,0.40734413
2024-03-12 19:00:00,-0.035714854
2024-03-12 20:00:00,-0.5505769
2024-03-12 21:00:00,-1.0003936
2024-03-12 22:00:00,-1.2814286
2024-03-12 23:00:00,-1.3335423
2024-03-13 00:00:00,-1.1234496
2024-03-13 01:00:00,-0.70494914
2024-03-13 02:00:00,-0.1943816
2024-03-13 03:00:00,0.28334692
2024-03-13 04:00:00,0.6070067
2024-03-13 05:00:00,0.70475626
2024-03-13 06:00:00,0.5460815
2024-03-13 07:00:00,0.21825942
2024-03-13 08:00:00,-0.22083347
2024-03-13 09:00:00,-0.66559666
2024-03-13 10:00:00,-0.99166477
2024-03-13 11:00:00,-1.1110042
2024-03-13 12:00:00,-1.0115978
